	えぬいーえる	0
シンデレラ筋肉	しんでれらきんにく	0
シント=トロイデン	しんととろいでん	0
シントク	しんとく	0
シントー	しんとー	0
シント＝トロイデンVV	しんととろいでんせふっとばるふぇれにひんく	0
シンドバッド	しんどばっど	0
シンドバッドの冒険	しんどばっどのぼうけん	0
シンドバッド・ストーリーブック・ヴォヤッジ	しんどばっどすとーりーぶっくゔぉやっじ	0
シンドバッド（マギ）	しんどばっど	0
シンドラー	しんどらー	0
シンドラーのリフト	しんどらーのりふと	1
シンドラーエレベータ	しんどらーえれべーた	0
シンドラーエレベーター	しんどらーえれべーたー	1
シンドリア	しんどりあ	0
シンドリア王国	しんどりあおうこく	1
シンドロケ	しんどろけ	1
シンドロケ!	しんどろけ	0
シンドローム	しんどろーむ	1
シンドーコバヤシP	しんどーこばやしぴー	1
シンニポリー	しんにぽりー	0
シンノスケ	しんのすけ	1
シンハライト	しんはらいと	0
シンハラ文字	しんはらもじ	0
シンハラ語	しんはらご	0
シンバル	しんばる	0
シンバルズ	しんばるず	1
シンバ杯	しんばはい	1
シンパシーシリーズ	しんぱしーしりーず	0
シンフォギア	しんふぉぎあ	0
シンフォギアCMリンク	しんふぉぎあしーえむりんく	0
シンフォギアG	しんふぉぎあじー	1
シンフォギアGX	しんふぉぎあじーえっくす	1
シンフォギアMAD	しんふぉぎあまっど	0
シンフォギアセルフパロディ集	かねこのわるのりしゅう	0
シンフォギアライブ	しんふぉぎあらいぶ	0
シンフォギアライブ2012	しんふぉぎあらいぶ	1
シンフォギアライブ2013	しんふぉぎあらいぶ	1
シンフォギアライブ2016	しんふぉぎあらいぶ	1
シンフォギアライブ2018	しんふぉぎあらいぶ	1
シンフォギアライブ2020	しんふぉぎあらいぶ	1
シンフォギア日和	しんふぉぎあびより	0
シンフォギア次元	しんふぉぎあじげん	1
シンフォニア	しんふぉにあ	0
シンフォニアMAD	しんふぉにあまっど	0
シンフォニアテクノロジー	しんふぉにあてくのろじー	0
シンフォニアリマスター	ているずおぶしんふぉにありますたー	1
シンフォニアン譜面	しんふぉにあんふめん	0
シンフォニック=レイン	しんふぉにっくれいん	0
シンフォニックチャイム	しんふぉにっくちゃいむ	1
シンフォニックブラックメタル	しんふぉにっくぶらっくめたる	1
シンフォニックメタル	しんふぉにっくめたる	0
シンフォニックメタルシリーズ	しんふぉにっくめたるしりーず	0
シンフォニック・チャイム	しんふぉにっくちゃいむ	1
シンフォニック東方	しんふぉにっくとうほう	0
シンフォニー	しんふぉにー	0
シンフォニーX	しんふぉにーえっくす	1
シンフォニー病院	しんふぉにーびょういん	1
シンブラウン	しんぶらうん	0
シンブル	しんぶる	0
シンプソンズ	しんぷそんず	1
シンプリスト	しんぷりすと	0
シンプル	しんぷる	0
シンプル(スマブラDX)	しんぷる	0
シンプル(スマブラX)	しんぷる	0
シンプルな丸刈り	しんぷるなまるがり	0
シンプルな丸刈りのテーマ	しんぷるなまるがりのてーま	1
シンプルイズベスト	しんぷるいずべすと	1
シンプルカジダンス	しんぷるかじだんす	1
シンプルシリーズ	しんぷるしりーず	1
シンプル車載動画投稿祭	しんぷるしゃさいどうがとうこうさい	0
シンペイ	しんぺい	1
シンペル	しんぺる	0
シンボラー	しんぼらー	0
シンボリインディ	しんぼりいんでぃ	0
シンボリクリエンス	しんぼりくりえんす	0
シンボリクリスエス	しんぼりくりすえす	0
シンボリクリスエス(ウマ娘)	しんぼりくりすえす	0
シンボリルドルフ	しんぼりるどるふ	0
シンボリルドルフ(ウマ娘)	しんぼりるどるふ	0
シンボリ牧場	しんぼりぼくじょう	0
シンボリ軍団	しんぼりぐんだん	1
シンボル	しんぼる	0
シンボルエンカウント	しんぼるえんかうんと	0
シンボルタワー	しんぼるたわー	0
シンボルマーク	しんぼるまーく	1
シンメデージー	しんめでーじー	0
シンメトリー	しんめとりー	0
シンメトリーAZS	しんめとりーあずさ	0
シンメトリーDB	しんめとりーだいゔぉー	0
シンメトリーHTN	しんめとりーはたの	0
シンメトリーRIM	しんめとりーれいむ	0
シンメトレル	しんめとれる	1
シンユニバースロボ	しんゆにばーすろぼ	1
シンリョクカ	しんりょくか	0
シンリンオオカミ(けものフレンズ)	けものふれんずのしんりんおおかみ	0
シンヲタきゅん	しんをたきゅん	0
シン・アスカ	しんあすか	0
シン・ウルトラマン	しんうるとらまん	0
シン・エヴァンゲリオン	しんえゔぁんげりおん	1
シン・エヴァンゲリオン劇場版:||	しんえゔぁんげりおんげきじょうばん	0
シン・エヴァンゲリオン劇場版:||評リンクまとめ	しんえゔぁんげりおんげきじょうばんひょうりんくまとめ	1
シン・ゴジラ	しんごじら	0
シン・ゴジラ対HiGH&LOW	しんごじたいはいろー	0
シン・ゴジラ音楽集	しんごじらおんがくしゅう	0
シン・マツナガ	しんまつなが	0
シン・ユニバースロボ	しんゆにばーすろぼ	0
シン・ユヤ	しんゆや	0
シン・ワッカ	しんわっか	0
シン・仮面ライダー	しんかめんらいだー	0
シン・少し楽しくなるコメント動画【中曽根OFF合作】	しんすこしたのしくなるこめんとどうが	1
シン仮面ライダー	しんかめんらいだー	1
シン君	しんくん	1
シン流星群	なぁにぃきこえんなぁ	0
シン選組ガールズ	しんせんぐみがーるず	1
シン（不自然の味方P）	しん	0
シヴァ	しゔぁ	0
シヴァ(パズドラ)	しゔぁ	0
シヴァ(ファイアーエムブレム)	しゔぁ	0
シヴァテリウム(けものフレンズ)	しゔぁてりうむ	1
シヴァー・ゴッツォ	しゔぁーごっつぉ	0
シヴァ星域の会戦	しゔぁせいいきのかいせん	0
シヴァ星域会戦	しゔぁせいいきかいせん	1
シヴィライゼーション	しゔぃらいぜーしょん	1
シヴィライゼーション6	しゔぃらいぜーしょんしっくす	1
シヴィライゼーション7	しゔぃらいぜーしょんせぶん	1
シヴ山のドラゴン	しゔさんのどらごん	0
シ・ラタマ	しらたま	1
シー	しー	0
シーなんとかさん	くうき	0
シーにゃん	しーにゃん	0
シーアスパラガス	しーあすぱらがす	0
シーアンドエイチ	しーあんどえいち	0
シーア派	しーあは	0
シーウルフ	しーうるふ	0
シーウルフ級	じーうるふきゅう	1
シーウー	しーうー	0
シーエ	しーえ	1
シーエス日本	しーえすにっぽん	0
シーオ	しーお	0
シーカヤック	しーかやっく	1
シーカー	しーかー	0
シーカーストーン	しーかーすとーん	0
シーカー姉妹	のえるとふらん	0
シーガイア	しーがいあ	0
シーキューブ	しーきゅーぶ	1
シーキングザゴールド	しーきんぐざごーるど	0
シーキングザダイヤ	しーきんぐざだいや	0
シーキングザパール	しーきんぐざぱーる	0
シーキングザパール(ウマ娘)	しーきんぐざぱーる	0
シーキンセツ	しーきんせつ	0
シーク	しーく	0
シークP	しーくぴー	0
シークァーサー	しーくぁーさー	1
シークエンスブレイク	しーくえんすぶれいく	1
シークバー	しーくばー	0
シークバーが仕事放棄	しーくばーがしごとほうき	0
シークバーの呪い	しーくばーののろい	0
シークバー詐欺	しーくばーさぎ	1
シークバー読み込み詐欺	しーくばーよみこみさぎ	0
シークレット	しーくれっと	0
シークレット カクレンジャー	しーくれっとかくれんじゃー	1
シークレット キャッチ！ティニピン	しーくれっときゃっちてぃにぴん	1
シークレット=イージー	しーくれっといーじー	0
シークレットオブマナ	しーくれっとおぶまな	1
シークレットカクレンジャー	しーくれっとかくれんじゃー	0
シークレットゲーム	しーくれっとげーむ	0
シークレットサービス	しーくれっとさーびす	1
シークレットシークレット	しーくれっとしーくれっと	1
シークレットジュエル 魅惑の金剛石	しーくれっとじゅえるみわくのこんごうせき	1
シークレットジュエル〜魅惑の金剛石〜	しーくれっとじゅえるみわくのこんごうせき	0
シークレットソードII	しーくれっとそーどつー	0
シークレット・インベージョン	しーくれっといんべーじょん	0
シークレット・オブ・マナ・ジェネシス	しーくれっとおぶまなじぇねしす	1
シークレット・オブ・マナ・ジェネシス/聖剣伝説2 アレンジアルバム	しーくれっとおぶまなじぇねしすせいけんでんせつつーあれんじあるばむ	0
シークレット・カクレンジャー	しーくれっとかくれんじゃー	1
シークレット・ガーデン	しーくれっとがーでん	1
シークレット・サンダース	しーくれっとさんだーす	0
シークレット・サービス	しーくれっとさーびす	0
シークレット・シークエンス	しーくれっとしーくえんす	1
シークヮサー	しーくゎさー	1
シークヮーサー	しーくゎーさー	0
シークワーサー	しーくわーさー	0
シーク・マハール	しーくまはーる	0
シーク禁止	しーくきんし	1
シーグリーン	しーぐりーん	0
シーケンサ	しーけんさ	1
シーケンサー	しーけんさー	0
シーケンサー(ふうらいぼ)	しーけんさーかっこふうらいぼ	1
シーケンシャル	しーけんしゃる	0
シーケンスブレイク	しーけんすぶれいく	0
シーゴーレム	しーごーれむ	0
シーサ	しーさ	1
シーサ。	しーさ	0
シーサイド	しーさいど	0
シーサイドコミュニケーションズ	しーさいどこみゅにけーしょんず	1
シーサイドステークス	しーさいどすてーくす	1
シーサイドライナー	しーさいどらいなー	0
シーサイドライン	しーさいどらいん	1
シーサイド・ウォー!	しーさいどうぉー	0
シーサイド・コミュニケーションズ	しーさいどこみゅにけーしょんず	0
シーサー	しーさー	0
シーサー(けものフレンズ)	けものふれんずのしーさー	0
シーサー(マーライオン)	しーさーかっこまーらいおん	0
シーサー(実況プレイヤー)	しーさー	0
シーサーバル	しーさーばる	0
シーサー・ライト(けものフレンズ)	けものふれんずのしーさーらいと	1
シーサー・レフティ(けものフレンズ)	けものふれんずのしーさーれふてぃ	1
シーザ	しーざ	0
シーザ(ファイアーエムブレム)	しーざ	0
シーザスターズ	しーざすたーず	0
シーザノケ	しーざのけ	0
シーザリオ	しーざりお	0
シーザリオ(ウマ娘)	しーざりお	0
シーザー	しーざー	0
シーザー(競走馬)	しーざー	0
シーザー・A・ツェペリ	しーざーあんとにおつぇぺり	1
シーザー・アントニオ・ツェペリ	しーざーあんとにおつぇぺり	0
シーザー・クラウン	しーざーくらうん	0
シーザー・ツェペリ	しーざーつぇぺり	1
シーザー西脇	しーざーにしわき	1
シーシア	しーしあ	0
シーシェパード	しーちわわ	0
シーシャ	しーしゃ	1
シーシャドウ	しーしゃどう	0
シーシャンティ	しーしゃんてぃ	0
シーシュポス	しーしゅぽす	1
シーシュポスの神話	しーしゅぽすのしんわ	0
シーシータイム	しーしーたいむ	0
シージ(アークナイツ)	しーじ	0
シージェッター海斗	しーじぇったーかいと	0
シースパイダー	しーすぱいだー	0
シースパロー	しーすぱろー	1
シースパロー菊池	しーすぱろーきくち	1
シースルー	しーするー	0
シースルーP	しーするーぴー	0
シーズ	しーず	1
シーズン	しーずん	0
シーズン 〜未来への手紙〜	しーずんみらいへのてがみ	0
シーズン100勝	しーずんひゃくしょう	0
シーズン100敗	しーずんひゃっぱい	0
シーズン〜未来への手紙〜	しーずんみらいへのてがみ	1
シーズンパス	しーずんぱす	1
シーソルトアイス	しーそるとあいす	0
シーソーパルト	しーそーぱると	1
シータ	しーた	0
シータ(Fate)	らーまのよめ	0
シータ(ゲーム)	しーた	0
シーダ	しーだ	0
シーダ(ファイアーエムブレム)	しーだ	0
シーダP	しーだぴー	0
シーダPへの返答リンク	しーだぴーへのへんとうりんく	0
シーチキン	しーちきん	0
シーチキン目線	しーちきんめせん	0
シーデー	しーでー	1
シート	しーと	0
シートアジャスター	しーとあじゃすたー	0
シートピアYAZ	しーとぴあやず	1
シートベルト	しーとべると	0
シード	しーど	1
シードラ	しーどら	0
シードル	しーどる	0
シード権	しーどけん	0
シーナ	しーな	0
シーナ&ザ・ロケッツ	しーなあんどざろけっつ	1
シーナ&ロケッツ	しーなあんどろけっつ	0
シーネットネットワークスジャパン	しーねっとねっとわーくすじゃぱん	1
シーネットネットワークスジャパン株式会社	しーねっとねっとわーくすじゃぱんかぶしきがいしゃ	1
シーハルク	しーはるく	0
シーバス	しーばす	0
シーバスP	しーばすぴー	0
シーバス釣り太郎	しーばすつりたろう	0
シーバード	しーばーど	0
シーパラダイス	しーぱらだいす	0
シービスケット	しーびすけっと	0
シービークイン	しーびーくいん	0
シービークロス	しーびーくろす	0
シービー世代	しーびーせだい	1
シーフクロー	しーふくろー	1
シーフクロー(ウマ娘)	しーふくろー	0
シーフ竹達	しーふたけたつ	1
シーブック	しーぶっく	1
シーブック・アノー	しーぶっくあのー	0
シープドッグトライアル	しーぷどっぐとらいある	0
シーホース	しーほーす	0
シーホースの人	しーほーすのひと	1
シーホース三河	しーほーすみかわ	0
シーボルト(列車)	しーぼると	0
シーボーギウム	しーぼーぎうむ	0
シーボーズ	しーぼーず	0
シーポンチ	しーぽんち	0
シーマ	しーま	0
シーマクラシック	しーまくらしっく	1
シーマン	しーまん	0
シーマンパロディAV	しーまんぱろでぃえーぶい	0
シーマ・ガラハウ	しーまがらはう	0
シーマ様	しーまさま	0
シーマ（Gダライアス）	しーまじーだらいあす	1
シーマ（ダライアス）	しーまだらいあす	0
シーメンス	しーめんす	0
シーモ	しーも	0
シーモア=グアド	しーもあぐあど	0
シーモアバトル	しーもあばとる	0
シーモネーター	しーもねーたー	0
シーモンキー	しーもんきー	0
シーラ	しーら	0
シーラ(トリッカル)	しーら	0
シーラさんは絶対です	しーらさんはぜったいです	0
シーライオン	しーらいおん	0
シーラカンス	しーらかんす	0
シーラカンス(けものフレンズ)	けものふれんずのしーらかんす	0
シーラカンスの日	しーらかんすのひ	0
シーラカンスの胃袋	しーらかんすのいぶくろ	0
シーラカンスの胃袋づめ	しーらかんすのいぶくろづめ	1
シーラカンスの胃袋詰め	しーらかんすのいぶくろづめ	1
シーランド	しーらんど	1
シーランド(APヘタリア)	しーらんど	0
シーランド公国	しーらんどこうこく	0
シーラ・ヘルマン	しーらへるまん	0
シール	しーる	0
シール(グランパス級潜水艦)	しーる	0
シールオンライン	しーるおんらいん	1
シールズ	しーるず	0
シールダー(fate/grand order)	しーるだーふぇいとぐらんどおーだー	1
シールド	しーるど	0
シールド(スターウォーズ)	しーるど	0
シールドこぞう	しーるどこぞう	0
シールドナー・シェルダン	しーるどなーしぇるだん	1
シールドバッシュ	しーるどばっしゅ	0
シールドライガー	しーるどらいがー	0
シールドラッシュ	しーるどらっしゅ	0
シーレーン	しーれーん	0
シーン	しーん	0
シーン・ピアース	しーんぴあーす	0
シーヴァ	しーゔぁ	0
シー・グリーン	しーぐりーん	1
シー・シェパード	しーしぇぱーど	1
シー・ハルク	しーはるく	1
シー・ハルク:ザ・アトーニー	しーはるくざあとーにー	0
シーーーーーン!と叫ぶ男性	しーーーーーんとさけぶだんせい	0
シ民	しおにすとだいかんき	0
シ絵モン図鑑	しえもんずかん	1
ジ アウトレット	じあうとれっと	1
ジは地味な奴のジ	じはじみなやつのじ	0
ジアス上大岡	じあすかみおおおか	0
ジアセチルモルヒネ	じあせちるもるひね	1
ジアモルヒネ	じあもるひね	1
ジアースP	じあーすぴー	0
ジアート	じあーと	0
ジアートオブシンゴジラ	じあーとおぶしんごじら	1
ジウ(キャプテン翼)	じう	0
ジウラ(utau)	じうら	0
ジェアン・シュヴァリアー	じぇあんしゅゔぁりあー	1
ジェイ	じぇい	0
ジェイ&エル	じぇいあんどえる	0
ジェイアールバステック	じぇいあーるばすてっく	0
ジェイアールバス東北	じぇいあーるばすとうほく	1
ジェイアールバス関東	じぇいあーるばすかんとう	1
ジェイアールマグレブ	じぇいあーるまぐれぶ	1
ジェイアール四国バス	じぇいあーるしこくばす	1
ジェイアール式マグレブ	じぇいあーるしきまぐれぶ	1
ジェイアール東海バス	じぇいあーるとうかいばす	1
ジェイエア	じぇいえあ	0
ジェイエム	じぇいえむ	1
ジェイガニズム	じぇいがにずむ	0
ジェイガン	じぇいがん	0
ジェイガン(アリティア騎士団)	じぇいがんかっこありてぃあきしだんかっことじ	0
ジェイク・アリエッタ	じぇいくありえった	1
ジェイク・アリエータ	じぇいくありえーた	0
ジェイク・ウェスカー	じぇいくうぇすかー	1
ジェイク・ミューラー	じぇいくみゅーらー	0
ジェイク・ラモン	じぇいくらもん	0
ジェイク・リー	じぇいくりー	0
ジェイコブ	じぇいこぶ	0
ジェイコブス・ラダー	じぇいこぶすらだー	1
ジェイコブズ・ラダー	じぇいこぶずらだー	0
ジェイコブ・デグロム	じぇいこぶでぐろむ	0
ジェイコブ・ミジオロウスキー	じぇいこぶみじおろうすきー	0
ジェイコブ・ワゲスパック	じぇいこぶわげすぱっく	0
ジェイコム	じぇいこむ	0
ジェイジェイ	じぇいじぇい	0
ジェイス	じぇいす	1
ジェイスターズ ビクトリーバーサス	じぇいすたーずびくとりーばーさす	1
ジェイスターズビクトリーバーサス	じぇいすたーずびくとりーばーさす	0
ジェイス・ベレレン	じぇいすべれれん	0
ジェイソン	じぇいそん	0
ジェイソンX	じぇいそんえっくす	0
ジェイソンさん	じぇいそんさん	0
ジェイソン・A・ナーヴィー	じぇいそんえーなーゔぃー	1
ジェイソン・ジアンビ	じぇいそんじあんび	0
ジェイソン・スタンドリッジ	じぇいそんすたんどりっじ	1
ジェイソン・スタンリッジ	じぇいそんすたんりっじ	0
ジェイソン・ステイサム	じぇいそんすていさむ	0
ジェイソン・ダビッド	じぇいそんだびっど	1
ジェイソン・デビッド・フランク	じぇいそんでびっどふらんく	0
ジェイソン・デヴィッド・フランク	じぇいそんでゔぃっどふらんく	1
ジェイソン・ナービー	じぇいそんなーびー	1
ジェイソン・ナーヴィー	じぇいそんなーゔぃー	0
ジェイソン・バリテック	じぇいそんばりてっく	0
ジェイソン・フランク	じぇいそんふらんく	1
ジェイソン・ヘイワード	じぇいそんへいわーど	0
ジェイソン・ボーン	じぇいそんぼーん	1
ジェイソン・ムラーズ	じぇいそんむらーず	0
ジェイソン・モーガン	じぇいそんもーがん	0
ジェイソン・リッチ	じぇいそんりっち	0
ジェイソン・リー・スコット	じぇいそんりーすこっと	0
ジェイソン・ワース	じぇいそんわーす	0
ジェイソン清水	じぇいそんしみず	1
ジェイデッカー	じぇいでっかー	1
ジェイデビット	じぇいでびっと	1
ジェイド	じぇいど	0
ジェイド(トリッカル)	じぇいど	0
ジェイドボイス	じぇいどぼいす	0
ジェイドロバリー	じぇいどろばりー	0
ジェイド・カーティス	じぇいどかーてぃす	0
ジェイブス	じぇいぶす	0
ジェイミン	じぇいみん	0
ジェイミー・オリヴァー	じぇいみーおりゔぁー	0
ジェイミー・バーディ	じぇいみーばーでぃ	1
ジェイミー・バーディー	じぇいみーばーでぃー	1
ジェイミー・モイヤー	じぇいみーもいやー	0
ジェイミー・ヴァーディ	じぇいみーゔぁーでぃ	0
ジェイミー・ヴァーディー	じぇいみーゔぁーでぃー	1
ジェイムス	じぇいむす	1
ジェイムスン教授	じぇいむすんきょうじゅ	0
ジェイムスン教授シリーズ	じぇいむすんきょうじゅしりーず	1
ジェイムス・サンダーランド	じぇいむす	1
ジェイムス・サンダーランド(『サイレントヒル』シリーズ)	じぇいむすさんだーらんど	0
ジェイムス・スパーン	じぇいむすすぱーん	0
ジェイムズ	じぇいむず	1
ジェイムズ(BLEACH)	じぇいむず	1
ジェイムズ・エルロイ	じぇいむずえるろい	0
ジェイムズ・ブラウン	じぇいむずぶらうん	1
ジェイムズ・ブラック	じぇいむずぶらっく	0
ジェイル・スカリエッティ	じぇいるすかりえってぃ	0
ジェイル・ハウス・ロック	じぇいるはうすろっく	1
ジェイル大橋	じぇいるおおはし	0
ジェイ・Z	じぇいじー	1
ジェイ・アール北海道バス	じぇいあーるほっかいどうばす	0
ジェイ・エンタープライズ	じぇいえんたーぷらいず	0
ジェイ・ジャクソン	じぇいじゃくそん	0
ジェイ・スポーツ	じぇいすぽーつ	1
ジェイ・スポーツ・ブロードキャスティング	じぇいすぽーつぶろーどきゃすてぃんぐ	0
ジェイ・ノイズ	じぇいのいず	1
ジェイ・バス	じぇいばす	0
ジェイ・ブルース	じぇいぶるーす	0
ジェイ・ミン	じぇいみん	1
ジェイ先輩	じぇいせんぱい	0
ジェオスミン	じぇおすみん	1
ジェガン	じぇがん	0
ジェガン（MS）	じぇがんもびるすーつ	1
ジェクト	じぇくと	0
ジェシカ	じぇしか	0
ジェシカ(くるりんご)	じぇしか	1
ジェシカ(鄭秀妍)	じぇしか	0
ジェシカの顔は肛門以下	わわわわわわわ	1
ジェシカ・ジョーンズ	じぇしかじょーんず	0
ジェシカ・チャステイン	じぇしかちゃすていん	0
ジェシカ・プレイズ	じぇしかぷれいず	1
ジェシス	じぇしす	0
ジェシー	じぇしー	0
ジェシー(ファイアーエムブレム)	じぇしー	0
ジェシー・ウィンカー	じぇしーうぃんかー	0
ジェシー・メイビア	じぇしーめいびあ	0
ジェジュン	じぇじゅん	0
ジェスチャ認識	じぇすちゃにんしき	0
ジェセル	じぇせる	0
ジェゼル	じぇぜる	1
ジェダイ:サバイバー	じぇだいさばいばー	1
ジェダイP	じぇだいぴー	0
ジェダイな感じ	じぇだいなかんじ	1
ジェダイな感じがするか？	じぇだいなかんじがするか	0
ジェダイの帰還	じぇだいのきかん	1
ジェダイの復讐	じぇだいのふくしゅう	1
ジェダイの球児	じぇだいのきゅうじ	1
ジェダイサバイバー	じぇだいさばいばー	1
ジェダイ・アカデミー三部作	じぇだいあかでみーとりろじー	0
ジェダイ・サバイバー	じぇだいさばいばー	1
ジェダイ騎士が幻想入り	じぇだいないとがげんそういり	0
ジェダイ騎士が幻想入りの人	じぇだいきしがげんそういりのひと	0
ジェッタシー	じぇったしー	1
ジェッター	じぇったー	0
ジェッターズ	じぇったーず	1
ジェッディン・デデン	じぇっでぃんででん	0
ジェット	じぇっと	0
ジェットP	じぇっとぴー	0
ジェットの人	じぇっとのひと	1
ジェットアローン	じぇっとあろーん	0
ジェットエクスタシー	じぇっとえくすたしー	0
ジェットエンジン	じぇっとえんじん	0
ジェットカー	じぇっとかー	0
ジェットキャノン砲	じぇっときゃのんほう	0
ジェットコ	じぇっとこ	0
ジェットコースター	じぇっとこーすたー	1
ジェットコースターの日	じぇっとこーすたーのひ	0
ジェットコースターの路	じぇっとこーすたーのみち	0
ジェットコースタードリーム	じぇっとこーすたーどりーむ	1
ジェットコースター記念日	じぇっとこーすたーきねんび	1
ジェットジャガー	じぇっとじゃがー	0
ジェットスイーパー	じぇっとすいーぱー	0
ジェットスイーパーカスタム	じぇっとすいーぱーかすたむ	1
ジェットスター	じぇっとすたー	0
ジェットスタージャパン	じぇっとすたーじゃぱん	1
ジェットスター・ジャパン	じぇっとすたーじゃぱん	0
ジェットスター・ジャパン株式会社	じぇっとすたーじゃぱんかぶしきかいしゃ	1
ジェットストリーム	じぇっとすとりーむ	0
ジェットストリームアタック	じぇっとすとりーむあたっく	0
ジェットストリームメガネ	じぇっとすとりーむめがね	0
ジェットストリーム・サム	じぇっとすとりーむさむ	1
ジェットセットラジオ	じぇっとせっとらじお	0
ジェットセットラジオフューチャー	じぇっとせっとらじおふゅーちゃー	0
ジェットダッシュ	じぇっとだっしゅ	1
ジェットバトル	じぇっとばとる	0
ジェットフォイル	じぇっとふぉいる	1
ジェットマン	じぇっとまん	0
ジェットロン	じぇっとろん	0
ジェット・スティングレン	じぇっとすてぃんぐれん	1
ジェット・リー	じぇっとりー	0
ジェット先輩	じぇっとせんぱい	0
ジェット右翼	じぇっとうよく	0
ジェット炎	じぇっとえん	0
ジェット虚無僧	じぇっとこむそう	0
ジェット風船	じぇっとふうせん	0
ジェット（ポケモン）	じぇっと	0
ジェナス・ディラ	じぇなすでぃら	0
ジェニオン	じぇにおん	0
ジェニオン・ガイ	じぇにおんがい	1
ジェニス	じぇにす	0
ジェニック	じぇにっく	0
ジェニファ	じぇにふぁ	0
ジェニファー・J・デ・ブランク	じぇにふぁーでぶらんく	0
ジェニファー・ベイブルック	じぇにふぁーべいぶるっく	0
ジェニファー・ユーイング	じぇにふぁーゆーいんぐ	1
ジェニファー・純恋・ソル	じぇにふぁーすみれそる	0
ジェニュイン	じぇにゅいん	1
ジェニュイン(競走馬)	じぇにゅいんきょうそうば	0
ジェニュインリスク	じぇにゅいんりすく	0
ジェニュイン（魔人探偵脳噛ネウロ）	じぇにゅいん	0
ジェニングス（銀河英雄伝説）	じぇにんぐす	0
ジェニー	じぇにー	0
ジェニー(ファイアーエムブレム)	じぇにー	0
ジェニー(人形)	じぇにー	0
ジェニーはティーン☆ロボット	じぇにーはてぃーんろぼっと	0
ジェニー・ドリトル	じぇにーどりとる	0
ジェニー・モルガン	じぇにーもるがん	0
ジェネおんパレード	じぇねおんぱれーど	0
ジェネオン	じぇねおん	1
ジェネオンエンタテインメント	じぇねおんえんたていんめんと	1
ジェネオンエンタテインメント株式会社	じぇねおんえんたていんめんとかぶしきがいしゃ	1
ジェネオン・ユニバーサル	じぇねおんゆにばーさる	1
ジェネオン・ユニバーサル・エンターテイメント	じぇねおんゆにばーさるえんたーていめんと	1
ジェネオン・ユニバーサル・エンターテイメントジャパン	じぇねおんゆにばーさるえんたーていめんとじゃぱん	1
ジェネオン・ユニバーサル・エンターテイメントジャパン合同会社	じぇねおんゆにばーさるえんたーていめんとじゃぱんごうどうがいしゃ	1
ジェネギャ	じぇねぎゃ	1
ジェネクス	じぇねくす	0
ジェネクス(遊戯王)	じぇねくす	0
ジェネシス	じぇねしす	0
ジェネシス(カードファイト!! ヴァンガード)	じぇねしす	0
ジェネシスシルバーホーク	じぇねしすしるばーほーく	1
ジェネシス理論	じぇねしすりろん	0
ジェネシス（SKET DANCE）	じぇねしす	0
ジェネシス（実況プレイヤー）	じぇねしす	0
ジェネシックガオガイガー	じぇねしっくがおがいがー	1
ジェネシック・ガオガイガー	じぇねしっくがおがいがー	0
ジェネシック・ガオガイガー[カード]	じぇねしっくがおがいがー	0
ジェネット	じぇねっと	0
ジェネット(けものフレンズ)	けものふれんずのじぇねっと	0
ジェネット属	じぇねっとぞく	1
ジェネティック・セクシュアル・アトラクション	じぇねてぃっくせくしゅあるあとらくしょん	0
ジェネティック・ワーウルフ	じぇねてぃっくわーうるふ	0
ジェネラル	じぇねらる	0
ジェネラル(カイザーナックル)	じぇねらる	0
ジェネラルスタッドブックの第1巻に記載されている102頭のサラブレッドの始祖種牡馬一覧	じぇねらるすたっどぶっくのだいいっかんにきさいされているひゃくにとうのさらぶれっどのしそしゅぼばいちらん	0
ジェネラル・エレクトリック	じぇねらるえれくとりっく	1
ジェネラル・エレクトリック・カンパニー	じぇねらるえれくとりっくかんぱにー	1
ジェネリック	じぇねりっく	0
ジェネリックwawawa	じぇねりっくわわわ	0
ジェネリックきらら	じぇねりっくきらら	0
ジェネリック医薬品	じぇねりっくいやくひん	1
ジェネリック拓也	じぇねりっくたくや	0
ジェネレイターガウル	じぇねれいたーがうる	0
ジェネレイド	じぇねれいど	0
ジェネレーションギャップ	じぇねれーしょんぎゃっぷ	0
ジェネロン	じぇねろん	0
ジェノア	じぇのあ	0
ジェノアCFC	じぇのあ	1
ジェノアス	じぇのあす	0
ジェノアスII	じぇのあすつー	1
ジェノアスカスタム	じぇのあすかすたむ	1
ジェノサイダス	じぇのさいだす	1
ジェノサイダー翔	じぇのさいだーしょう	0
ジェノサイド	じぇのさいど	0
ジェノサイドキングサーモン	じぇのさいどきんぐさーもん	0
ジェノサイドブレイバー	じぇのさいどぶれいばー	0
ジェノサイドマリオRTA	じぇのさいどまりおあーるてぃーえー	0
ジェノサイド・ジャック	じぇのさいどじゃっく	0
ジェノサイド・ジョー	じぇのさいどじょー	1
ジェノサイド早苗ブレイバー	じぇのさいどさなえぶれいばー	0
ジェノサイ子	じぇのさいこ	1
ジェノザウラー	じぇのざうらー	0
ジェノシドー	じぇのしどー	1
ジェノス	じぇのす	0
ジェノスタジオ	じぇのすたじお	0
ジェノスピノ	じぇのすぴの	0
ジェノハイドラ	じぇのはいどら	0
ジェノバ	じぇのば	0
ジェノバダービー	じぇのばだーびー	0
ジェノブレイカー	じぇのぶれいかー	0
ジェノヴァダービー	じぇのゔぁだーびー	1
